Scer1	Scer2	Cgla1	Cgla2	Klac	Calb	n.NAs
YBR018C	NA	NA	NA	KLLA0F08437g	orf19.3675	3
YOR140W	NA	CAGL0I07183g	NA	KLLA0E03191g	orf19.454	2
YGR250C	NA	CAGL0F08217g	NA	KLLA0A05346g	NA	3
YGR251W	NA	CAGL0I02376g	NA	KLLA0A05181g	orf19.3970	2
YGR252W	NA	CAGL0F08283g	NA	KLLA0A05115g	orf19.705	2
YOL038W	NA	CAGL0F01199g	NA	KLLA0B11836g	orf19.544.1	2
YGR254W	YHR174W	CAGL0I02486g	CAGL0F08261g	KLLA0A09185g	orf19.395	0
YGR255C	NA	CAGL0F08239g	NA	KLLA0C02761g	orf19.3058	2
YGR256W	YHR183W	CAGL0M13343g	NA	KLLA0A09339g	NA	2
YGR257C	NA	CAGL0F08305g	NA	KLLA0A09383g	orf19.417	2
YGR258C	NA	CAGL0F08327g	NA	KLLA0A09427g	orf19.1324	2
YBR019C	NA	NA	NA	KLLA0F08415g	orf19.3672	3
YGR260W	NA	CAGL0F08371g	NA	KLLA0A09449g	orf19.4335	2
YGR261C	NA	CAGL0F08393g	NA	KLLA0A09559g	orf19.1323	2
YGR262C	NA	CAGL0F08415g	NA	KLLA0A09625g	orf19.4252	2
YGR263C	NA	CAGL0F08437g	NA	KLLA0E23013g	orf19.2168	2
YGR264C	NA	CAGL0F08459g	NA	KLLA0A09647g	orf19.3955	2
YGR266W	NA	CAGL0F08481g	NA	KLLA0A09691g	orf19.3983	2
YGR267C	NA	CAGL0F08503g	NA	KLLA0A09735g	orf19.3957	2
YGR268C	NA	CAGL0G00550g	NA	KLLA0A09757g	orf19.3973	2
YGR270W	NA	CAGL0G00528g	NA	KLLA0A09823g	orf19.3949	2
YGR271W	NA	CAGL0G00506g	NA	KLLA0A09889g	orf19.3980	2
YBR020W	YDR009W	NA	NA	KLLA0F08393g	orf19.3670	2
YGR271C-A	NA	CAGL0G00484g	NA	KLLA0A09911g	NA	3
YGR273C	YMR295C	CAGL0M13629g	CAGL0G00462g	KLLA0A09933g	NA	1
YGR274C	NA	CAGL0G00418g	NA	KLLA0A10021g	orf19.6193	2
YGR275W	NA	CAGL0G00396g	NA	KLLA0A10043g	orf19.6196	2
YGR276C	NA	CAGL0G00374g	NA	KLLA0A10065g	orf19.6195	2
YGR277C	NA	CAGL0G00352g	NA	KLLA0C14003g	orf19.1776	2
YGR278W	NA	CAGL0G00330g	NA	KLLA0C14025g	orf19.1771	2
YGR279C	YMR305C	CAGL0G00308g	CAGL0M13805g	KLLA0C14047g	NA	1
YGR280C	NA	CAGL0G00264g	NA	KLLA0C14135g	orf19.3831	2
YBR022W	NA	CAGL0B04411g	NA	NA	orf19.1950	3
YGR281W	NA	CAGL0G00242g	NA	KLLA0C14234g	orf19.1783	2
YGR282C	NA	CAGL0G00220g	NA	KLLA0F03036g	orf19.4565	2
YGR283C	YMR310C	CAGL0M13915g	NA	KLLA0F03058g	NA	2
YGR284C	NA	CAGL0G00176g	NA	KLLA0F03102g	orf19.4579	2
YGR285C	NA	CAGL0G00154g	NA	KLLA0F03124g	orf19.2709	2
YGR286C	NA	NA	NA	KLLA0A05863g	orf19.2593	3
YGR287C	NA	NA	NA	NA	orf19.7668	4
YGR288W	NA	NA	NA	NA	orf19.7319	4
YGR292W	NA	NA	NA	NA	NA	5
YBR023C	NA	CAGL0B04389g	CAGL0I04840g	KLLA0D03498g	orf19.4937	1
YGR294W	NA	NA	NA	NA	NA	5
YGR295C	NA	NA	NA	NA	NA	5
YGR296W	NA	NA	NA	NA	NA	5
YHL049C	NA	NA	NA	NA	NA	5
YHL047C	NA	NA	NA	NA	NA	5
YHL046C	NA	NA	NA	NA	NA	5
YHL044W	NA	NA	NA	NA	NA	5
YHL043W	NA	NA	NA	NA	NA	5
YBR024W	YBR037C	CAGL0B04367g	CAGL0I04796g	KLLA0D03630g	NA	1
YHL042W	NA	NA	NA	NA	NA	5
YHL040C	NA	CAGL0E04092g	NA	NA	orf19.2179	3
YHL039W	NA	CAGL0E04070g	NA	KLLA0E00441g	NA	3
YHL038C	NA	CAGL0E04026g	NA	NA	NA	4
YHL036W	NA	CAGL0E04004g	NA	KLLA0E00507g	orf19.321	2
YHL035C	YLL048C	CAGL0E03982g	CAGL0C03289g	KLLA0E00529g	NA	1
YHL034C	YLL046C	CAGL0E03960g	NA	KLLA0E00551g	orf19.5854	1
YHL033C	YLL045C	CAGL0E03938g	NA	KLLA0E00573g	NA	2
YHL032C	NA	CAGL0E03916g	NA	KLLA0E00595g	orf19.558	2
YHL031C	NA	CAGL0E03872g	NA	KLLA0E00639g	orf19.6551	2
YAL044C	NA	CAGL0M12188g	NA	KLLA0A03597g	orf19.5006	2
YBR025C	NA	CAGL0B04345g	NA	KLLA0D03608g	orf19.754	2
YHL030W	NA	CAGL0E03828g	NA	KLLA0E00727g	orf19.6773	2
YHL029C	NA	CAGL0E03784g	NA	KLLA0D03861g	orf19.6769	2
YHL028W	NA	CAGL0D02794g	NA	KLLA0E00771g	orf19.7251	2
YHL027W	NA	CAGL0E03762g	NA	KLLA0E00793g	orf19.7247	2
YHL026C	NA	CAGL0E03740g	NA	NA	NA	4
YHL025W	NA	CAGL0E03718g	NA	KLLA0E11441g	NA	3
YHL024W	NA	CAGL0E03630g	NA	KLLA0F18216g	orf19.3373	2
YHL023C	NA	CAGL0E03608g	NA	KLLA0F18238g	orf19.6444	2
YHL022C	NA	CAGL0C02783g	NA	KLLA0D14575g	orf19.3589	2
YHL021C	NA	CAGL0K08844g	NA	KLLA0D14553g	orf19.7131	2
YBR026C	NA	CAGL0B04323g	NA	KLLA0F24552g	orf19.5450	2
YHL020C	NA	CAGL0K03267g	NA	KLLA0F25388g	orf19.1543	2
YHL019C	NA	CAGL0K03223g	NA	KLLA0F25432g	orf19.2078	2
YHL018W	NA	CAGL0K03201g	NA	KLLA0F25454g	orf19.2079	2
YHL017W	YKL039W	CAGL0L01881g	CAGL0K03179g	KLLA0F25498g	NA	1
YHL016C	NA	CAGL0K03157g	NA	KLLA0C17468g	orf19.781	2
YHL015W	NA	CAGL0K03135g	NA	KLLA0F25542g	orf19.6375	2
YHL014C	NA	CAGL0K03113g	NA	KLLA0F25564g	orf19.2128	2
YHL013C	NA	CAGL0J01485g	NA	KLLA0F25586g	orf19.1959	2
YHL012W	YKL035W	CAGL0L01925g	NA	KLLA0F25652g	NA	2
YHL011C	NA	CAGL0K02541g	NA	KLLA0F25718g	orf19.1575	2
YBR028C	NA	CAGL0B04301g	NA	KLLA0F24618g	orf19.6275	2
YHL010C	NA	CAGL0K02563g	NA	KLLA0F25740g	orf19.1576	2
YHL009C	NA	CAGL0K02585g	CAGL0M10087g	KLLA0B13695g	orf19.3193	1
YHL008C	NA	CAGL0K02651g	NA	KLLA0F25784g	orf19.3406	2
YHL007C	NA	CAGL0K02673g	CAGL0M10153g	KLLA0B13607g	orf19.4242	1
YHL006C	NA	CAGL0K02695g	NA	KLLA0B13541g	NA	3
YHL004W	NA	CAGL0K02717g	NA	KLLA0B13519g	orf19.5747	2
YHL003C	YKL008C	CAGL0K02739g	CAGL0M10219g	KLLA0B13497g	orf19.3249	0
YHL002W	NA	CAGL0K02761g	NA	KLLA0B13475g	orf19.3233	2
YHL001W	YKL006W	CAGL0M10241g	NA	KLLA0B13409g	orf19.4931.1	1
YHR001W	YKR003W	CAGL0K02849g	NA	KLLA0A02827g	orf19.3198	1
YBR029C	NA	CAGL0I04752g	NA	KLLA0F24640g	orf19.1279	2
YHR001W-A	NA	CAGL0K02893g	NA	KLLA0E13839g	orf19.2439.1	2
YHR002W	NA	CAGL0K02915g	NA	KLLA0E18701g	orf19.2117	2
YHR003C	YKL027W	CAGL0K02937g	NA	KLLA0E18679g	NA	2
YHR004C	NA	CAGL0K02959g	NA	KLLA0E18613g	orf19.4657	2
YHR005C	NA	CAGL0F06677g	NA	KLLA0F25916g	orf19.4015	2
YHR005C-A	NA	CAGL0F06693g	NA	KLLA0F25872g	orf19.4577.3	2
YHR007C	NA	CAGL0E04334g	NA	KLLA0E03653g	orf19.922	2
YHR008C	NA	CAGL0E04356g	NA	KLLA0E03609g	orf19.3340	2
YHR009C	NA	CAGL0E04378g	NA	KLLA0E03565g	orf19.2333	2
YHR011W	NA	CAGL0E04400g	NA	KLLA0E03433g	orf19.1201	2
YBR030W	NA	CAGL0B04279g	NA	KLLA0B07161g	orf19.7223	2
YHR012W	NA	CAGL0E04422g	NA	KLLA0E03411g	orf19.6076	2
YHR013C	NA	CAGL0E04444g	NA	KLLA0E03367g	orf19.7617	2
YHR014W	NA	CAGL0E04466g	NA	KLLA0E03323g	NA	3
YHR017W	NA	CAGL0A02134g	NA	KLLA0A08382g	orf19.697	2
YHR018C	NA	CAGL0I08987g	NA	KLLA0A08404g	orf19.6689	2
YHR019C	NA	CAGL0A02112g	NA	KLLA0A08426g	orf19.6702	2
YHR020W	NA	CAGL0A02090g	NA	KLLA0A08448g	orf19.6701	2
YHR021C	YKL156W	CAGL0J00737g	NA	KLLA0E11661g	orf19.6286.2	1
YHR022C	NA	CAGL0E06292g	CAGL0J00715g	KLLA0E11639g	NA	2
YBR031W	YDR012W	CAGL0B04257g	NA	KLLA0B07139g	NA	2
YHR023W	NA	CAGL0J00693g	NA	KLLA0E11595g	orf19.6294	2
YHR024C	NA	CAGL0J00671g	NA	KLLA0E11573g	orf19.6295	2
YHR025W	NA	CAGL0J00649g	NA	KLLA0E11551g	orf19.923	2
YHR026W	NA	CAGL0J00627g	NA	KLLA0E11529g	orf19.4954	2
YBR008C	NA	NA	NA	NA	orf19.5604	4
YHR027C	NA	CAGL0J00605g	NA	KLLA0E11507g	orf19.4956	2
YHR028C	NA	CAGL0J00583g	NA	KLLA0E11485g	orf19.4322	2
YHR029C	NA	CAGL0J00561g	NA	NA	orf19.5620	3
YEL070W	NA	NA	NA	NA	NA	5
YHR030C	YKL161C	CAGL0J00539g	NA	KLLA0B11902g	orf19.7523	1
YEL069C	NA	NA	NA	NA	NA	5
YHR031C	NA	CAGL0J00517g	NA	KLLA0D13354g	orf19.7538	2
YHR032W	NA	CAGL0J00495g	NA	KLLA0F21802g	orf19.6691	2
YKL071W	NA	NA	NA	NA	NA	5
Scer_YGOB_YBL026W-A	NA	Cgla_YGOB_YBL026W-A	NA	Klac_YGOB_YBL026W-A	NA	3
YBR033W	YKL038W	CAGL0L01903g	NA	KLLA0F25630g	NA	2
YHR034C	NA	CAGL0D03916g	NA	KLLA0C10318g	orf19.7646	2
Scer_YGOB_SDL1	NA	NA	NA	NA	NA	5
YDR461W	NA	NA	NA	NA	NA	5
YHR035W	NA	CAGL0D03938g	NA	KLLA0C10461g	orf19.6558	2
YHR036W	NA	CAGL0D03960g	NA	KLLA0C10527g	orf19.474	2
YHR037W	NA	CAGL0D03982g	NA	KLLA0C10549g	orf19.3974	2
YHR038W	NA	CAGL0F08943g	NA	KLLA0C10593g	orf19.477	2
YHR039C	NA	CAGL0F08965g	NA	KLLA0C10615g	orf19.1865	2
YHR039C-A	NA	CAGL0F08987g	NA	KLLA0C10670g	orf19.1866	2
YHR040W	NA	CAGL0F09009g	NA	KLLA0C10681g	orf19.2260	2
YHR041C	NA	CAGL0D04136g	NA	KLLA0C10780g	orf19.2711.1	2
YHR042W	NA	CAGL0D04114g	NA	KLLA0D08712g	orf19.2672	2
YBR034C	NA	CAGL0I04730g	NA	KLLA0B07117g	orf19.3291	2
YHR044C	NA	NA	CAGL0M12925g	KLLA0C11143g	NA	3
YHR045W	NA	CAGL0J00297g	NA	KLLA0C11055g	orf19.4013	2
YHR046C	NA	CAGL0J00319g	NA	NA	NA	4
YHR047C	YKL157W	CAGL0J00341g	CAGL0E06226g	KLLA0C11033g	NA	1
YHR048W	NA	CAGL0J00363g	NA	NA	orf19.3395	3
YHR049W	NA	CAGL0J00385g	NA	KLLA0C11011g	orf19.6717	2
YHR050W	NA	CAGL0J00407g	NA	KLLA0D09581g	orf19.5022	2
YHR051W	NA	CAGL0J00429g	NA	KLLA0F21890g	orf19.873.1	2
YHR052W	NA	CAGL0J00473g	NA	KLLA0F21846g	orf19.124	2
YBR035C	NA	CAGL0I04708g	NA	KLLA0B07062g	orf19.550	2
YHR053C	NA	NA	NA	NA	NA	5
YHR055C	NA	NA	NA	NA	NA	5
YHR058C	NA	CAGL0D03828g	NA	KLLA0C10186g	orf19.7420	2
YHR059W	NA	CAGL0D03806g	NA	KLLA0C10164g	orf19.3357	2
YHR060W	NA	CAGL0D03784g	NA	KLLA0C14784g	orf19.6590	2
YHR062C	NA	CAGL0D03740g	NA	KLLA0C14718g	orf19.1029	2
YHR063C	NA	CAGL0L10538g	NA	KLLA0C14674g	orf19.4006	2
YHR064C	NA	CAGL0L10560g	NA	KLLA0C14652g	orf19.3812	2
YBR036C	NA	CAGL0I04774g	NA	NA	orf19.2302	3
YHR065C	NA	CAGL0J10912g	NA	KLLA0C14608g	orf19.7546	2
YHR067W	NA	CAGL0J10868g	NA	KLLA0E12651g	orf19.2670	2
YHR068W	NA	CAGL0H07249g	NA	KLLA0E12695g	orf19.1626	2
YHR069C	NA	CAGL0H07205g	NA	KLLA0E12739g	orf19.1304	2
YHR070W	NA	CAGL0H07183g	NA	KLLA0E12761g	orf19.1305	2
YHR071W	NA	CAGL0J10846g	NA	KLLA0E12783g	orf19.4012	2
YHR072W	NA	CAGL0J10824g	NA	KLLA0B10175g	orf19.1570	2
YHR072W-A	NA	CAGL0J10802g	NA	KLLA0C16753g	orf19.596.1	2
YHR073W	NA	CAGL0J10780g	NA	KLLA0C16797g	orf19.1317	2
YHR074W	NA	CAGL0J10758g	NA	KLLA0D13024g	orf19.1460	2
YAL043C	NA	CAGL0M12166g	NA	KLLA0A03663g	orf19.7041	2
YBR038W	NA	CAGL0I04818g	NA	KLLA0D03542g	orf19.5188	2
YHR075C	NA	CAGL0J10736g	NA	KLLA0D13046g	orf19.1459	2
YHR076W	NA	CAGL0J10692g	NA	KLLA0D13134g	orf19.5661	2
YHR077C	NA	CAGL0J10670g	NA	KLLA0D13156g	orf19.864	2
YHR078W	NA	CAGL0J10626g	NA	KLLA0D13200g	orf19.438	2
YHR079C	NA	CAGL0F03245g	NA	KLLA0D13266g	orf19.5068	2
YHR079C-A	NA	CAGL0F03261g	NA	KLLA0A07051g	orf19.5069	2
YHR081W	NA	CAGL0F03289g	NA	KLLA0E17007g	orf19.5067	2
YHR082C	NA	CAGL0F03311g	NA	KLLA0E17073g	orf19.4432	2
YHR083W	NA	CAGL0H02167g	NA	KLLA0E17117g	orf19.7267	2
YHR084W	NA	CAGL0M01254g	CAGL0H02145g	KLLA0E17139g	orf19.4433	1
YBR039W	NA	CAGL0I04686g	NA	KLLA0B06886g	orf19.3223	2
YHR085W	NA	CAGL0M01210g	NA	KLLA0F14839g	orf19.475	2
YHR086W	NA	CAGL0H02123g	NA	KLLA0F14861g	orf19.1876	2
YHR087W	NA	CAGL0H02101g	NA	KLLA0F21736g	orf19.1862	2
YHR088W	NA	CAGL0H02079g	NA	KLLA0F21670g	orf19.2667	2
YHR089C	NA	CAGL0H02057g	NA	KLLA0F21604g	orf19.1164	2
YHR090C	NA	CAGL0H02035g	NA	KLLA0A06974g	orf19.878	2
YHR096C	YDR345C	CAGL0A02321g	CAGL0A01826g	KLLA0D13310g	NA	1
YHR098C	NA	CAGL0A01848g	NA	KLLA0F22110g	orf19.880	2
YBR040W	NA	CAGL0I04664g	NA	KLLA0B06864g	orf19.138	2
YHR099W	NA	CAGL0A01914g	NA	KLLA0F22066g	orf19.139	2
YHR100C	NA	CAGL0H04389g	NA	KLLA0E16633g	orf19.3449.2	2
YHR101C	NA	CAGL0L11528g	NA	KLLA0E21737g	orf19.2334	2
YHR102W	NA	CAGL0L11550g	NA	KLLA0E21693g	orf19.191	2
YHR104W	NA	CAGL0I01122g	NA	KLLA0E21627g	orf19.4317	2
YHR105W	NA	CAGL0I01144g	NA	NA	orf19.4323	3
YKL023C-A	NA	NA	NA	NA	NA	5
YHR109W	NA	CAGL0I01210g	NA	KLLA0E21407g	orf19.7612	2
YHR110W	NA	CAGL0I01232g	NA	KLLA0E21385g	orf19.2322.3	2
YHR111W	NA	CAGL0I01254g	NA	KLLA0E21363g	orf19.2324	2
YHR112C	NA	CAGL0I01276g	NA	KLLA0E21319g	orf19.7297	2
YBR041W	NA	CAGL0I04642g	NA	KLLA0B06842g	orf19.3653	2
YHR113W	NA	CAGL0I01298g	NA	KLLA0E21297g	orf19.2335	2
YHR114W	NA	CAGL0I02750g	NA	KLLA0F23848g	orf19.1699	2
YHR115C	YNL116W	CAGL0L03960g	NA	KLLA0F23892g	NA	2
YHR116W	NA	CAGL0I02728g	NA	KLLA0F24024g	orf19.3244	2
YHR117W	YNL121C	CAGL0L12936g	CAGL0L04048g	KLLA0F24046g	NA	1
YHR118C	NA	CAGL0L12958g	NA	KLLA0F24112g	orf19.3289	2
YHR119W	NA	CAGL0L12980g	NA	KLLA0F24134g	orf19.6009	2
YHR120W	NA	CAGL0L13002g	NA	KLLA0F24156g	orf19.496	2
YHR121W	NA	CAGL0L13024g	NA	KLLA0F24266g	orf19.3698	2
YHR122W	NA	CAGL0L13046g	NA	KLLA0F24332g	orf19.6455	2
YBR042C	YDR018C	CAGL0I04620g	NA	KLLA0B06820g	orf19.137	1
YHR123W	YNL130C	CAGL0K09570g	CAGL0L13068g	KLLA0F24354g	orf19.3695	0
YHR124W	NA	CAGL0L13090g	NA	KLLA0F24420g	orf19.2119	2
YHR127W	NA	CAGL0H09086g	CAGL0K09812g	KLLA0A11616g	NA	2
YHR128W	NA	CAGL0H09064g	NA	KLLA0E22903g	orf19.2640	2
YHR129C	NA	CAGL0H09042g	NA	KLLA0E22925g	orf19.2641	2
YHR131C	YNL144C	CAGL0G06182g	CAGL0J05830g	KLLA0E22969g	orf19.6660	0
YHR132C	NA	CAGL0G06072g	NA	KLLA0F27929g	orf19.299	2
YHR132W-A	YNL157W	CAGL0G06094g	NA	KLLA0F27907g	orf19.285	1
YHR133C	YNL156C	CAGL0J05918g	NA	KLLA0F27885g	NA	2
YBR043C	NA	NA	NA	KLLA0B06798g	orf19.136	3
YHR134W	NA	CAGL0G06116g	NA	KLLA0F27863g	orf19.291	2
YHR135C	YNL154C	CAGL0G06138g	CAGL0J05940g	KLLA0D11044g	NA	1
YHR137W	NA	CAGL0G06028g	NA	KLLA0D11110g	orf19.1237	2
YHR138C	NA	CAGL0G06006g	NA	KLLA0D11143g	orf19.2769	2
YHR139C	YNL160W	CAGL0J06050g	CAGL0G05984g	NA	NA	2
YHR140W	NA	CAGL0G05962g	NA	KLLA0D07788g	orf19.5683	2
YHR141C	YNL162W	CAGL0G05940g	NA	KLLA0D07832g	NA	2
YHR142W	NA	CAGL0G05918g	NA	KLLA0D07854g	orf19.2444	2
YHR143W	NA	CAGL0G05896g	NA	KLLA0D07942g	NA	3
YBR044C	NA	CAGL0I04598g	NA	KLLA0B06732g	NA	3
YHR143W-A	NA	CAGL0G05874g	NA	KLLA0D08008g	orf19.7255	2
YHR144C	NA	CAGL0G05852g	NA	KLLA0D08074g	orf19.7243	2
YHR146W	YNL173C	CAGL0G05830g	CAGL0J11132g	KLLA0D08184g	NA	1
YHR147C	NA	CAGL0I01804g	NA	KLLA0E16017g	orf19.7486	2
YHR148W	NA	CAGL0I01826g	NA	KLLA0E15995g	orf19.7488	2
YHR150W	NA	CAGL0I01870g	NA	KLLA0E15841g	orf19.5943	2
YHR151C	NA	CAGL0I01892g	NA	KLLA0E15819g	orf19.5971	2
YHR153C	NA	CAGL0I01936g	NA	KLLA0E15665g	NA	3
YHR154W	NA	CAGL0I01958g	CAGL0L06644g	KLLA0E15621g	orf19.1445	1
YHR155W	YNL257C	CAGL0J07942g	CAGL0I01980g	KLLA0C02717g	NA	1
YBR045C	NA	CAGL0H09922g	NA	KLLA0A10571g	NA	3
YHR156C	NA	CAGL0I02002g	NA	KLLA0C02629g	orf19.2368	2
YHR157W	NA	CAGL0I02068g	NA	KLLA0E15533g	NA	3
YHR159W	NA	CAGL0I02112g	NA	KLLA0E15489g	orf19.4596	2
YHR164C	NA	CAGL0I02222g	NA	KLLA0A05324g	orf19.1192	2
YHR165C	NA	CAGL0I02266g	NA	KLLA0A05280g	orf19.6442	2
YHR166C	NA	CAGL0I02288g	NA	KLLA0A05258g	orf19.6437	2
YHR167W	NA	CAGL0I02310g	NA	KLLA0A05247g	NA	3
YHR168W	NA	CAGL0I02332g	NA	KLLA0A05225g	orf19.6653	2
YHR169W	NA	CAGL0I02354g	NA	KLLA0A05203g	orf19.6652	2
YBR046C	NA	CAGL0H09944g	NA	KLLA0A10549g	orf19.2262	2
YHR170W	NA	CAGL0I02398g	NA	KLLA0A05159g	orf19.706	2
YHR171W	NA	CAGL0I02420g	NA	KLLA0A05137g	orf19.707	2
YHR172W	NA	CAGL0I02464g	NA	KLLA0A09141g	orf19.708	2
YHR175W	NA	CAGL0I02508g	NA	KLLA0A09207g	orf19.4720	2
YHR176W	NA	CAGL0I02530g	NA	KLLA0A09229g	orf19.3307	2
YHR178W	NA	CAGL0I02552g	NA	KLLA0A09251g	orf19.3308	2
YHR179W	NA	CAGL0I02574g	NA	KLLA0A09075g	orf19.3443	2
YHR181W	NA	CAGL0M13321g	NA	KLLA0A09295g	orf19.1160	2
YBR047W	NA	CAGL0H09966g	NA	KLLA0A10527g	NA	3
YHR182W	NA	NA	NA	KLLA0A09317g	orf19.3453	3
YHR184W	NA	CAGL0M13365g	NA	KLLA0A09361g	NA	3
YHR185C	NA	CAGL0M13387g	NA	KLLA0A09405g	NA	3
YHR186C	NA	CAGL0M13409g	NA	KLLA0A09471g	orf19.418	2
YHR187W	NA	CAGL0M13431g	NA	KLLA0A09493g	orf19.2676	2
YHR188C	NA	CAGL0M13453g	NA	KLLA0A09515g	orf19.2677	2
YHR189W	NA	CAGL0M07073g	NA	KLLA0C06380g	orf19.4740	2
YHR190W	NA	CAGL0M07095g	NA	KLLA0D08866g	orf19.3616	2
YHR191C	NA	CAGL0M07117g	NA	KLLA0B04334g	orf19.576	2
YHR192W	NA	CAGL0M07139g	NA	KLLA0B04312g	NA	3
YAL042W	NA	CAGL0M11946g	NA	KLLA0C12947g	orf19.586	2
YBR048W	YDR025W	CAGL0K11748g	NA	KLLA0A10483g	NA	2
YHR193C	NA	CAGL0M07161g	NA	KLLA0B04290g	orf19.5858	2
YHR194W	NA	CAGL0M07183g	NA	KLLA0B04246g	orf19.2987	2
YHR195W	NA	CAGL0M07205g	NA	KLLA0B04224g	NA	3
YHR196W	NA	CAGL0M07227g	NA	KLLA0B04180g	orf19.6710	2
YHR197W	NA	CAGL0D02706g	NA	KLLA0B04092g	orf19.6862	2
YHR199C	NA	CAGL0D02728g	NA	KLLA0B03982g	NA	3
YHR200W	NA	CAGL0L08580g	NA	KLLA0B03916g	orf19.4102	2
YHR201C	NA	CAGL0L08602g	NA	KLLA0B03806g	orf19.4107	2
YHR202W	NA	CAGL0L02607g	NA	KLLA0B03674g	orf19.5342	2
YHR203C	YJR145C	CAGL0F09031g	NA	KLLA0B03652g	NA	2
YBR049C	YDR026C	CAGL0K11770g	CAGL0H09988g	KLLA0F04389g	NA	1
YHR204W	NA	CAGL0F09053g	NA	KLLA0B03608g	orf19.834	2
YHR205W	NA	CAGL0F09075g	NA	KLLA0B03586g	orf19.829	2
YHR206W	YJR147W	CAGL0F09097g	NA	KLLA0A10219g	orf19.971	1
YHR207C	NA	CAGL0F09119g	NA	KLLA0A10241g	orf19.1972	2
YHR210C	NA	NA	NA	NA	NA	5
YHR211W	NA	NA	NA	NA	NA	5
YHR213W	NA	NA	NA	NA	NA	5
YHR214W	NA	NA	NA	NA	NA	5
YHR215W	NA	NA	NA	NA	NA	5
YHR216W	NA	NA	NA	NA	NA	5
YHR219W	NA	NA	NA	NA	NA	5
YIL177C	NA	NA	NA	NA	NA	5
YIL176C	NA	NA	NA	NA	NA	5
YIL173W	NA	NA	NA	NA	NA	5
YIL172C	NA	NA	NA	NA	NA	5
YBR052C	YDR032C	CAGL0K11858g	CAGL0H10032g	KLLA0F04323g	NA	1
YIL170W	NA	NA	NA	NA	NA	5
YIL165C	NA	NA	NA	NA	NA	5
YIL164C	NA	NA	NA	NA	NA	5
YIL162W	NA	NA	NA	KLLA0A10417g	NA	4
YIL161W	NA	CAGL0L02541g	NA	KLLA0F10857g	NA	3
YIL160C	NA	CAGL0H06787g	NA	KLLA0F10879g	orf19.7520	2
YBR053C	NA	CAGL0H10054g	NA	KLLA0F04301g	orf19.2722	2
YIL159W	NA	CAGL0H06765g	NA	KLLA0F10912g	NA	3
YIL158W	YKR100C	CAGL0L02563g	NA	KLLA0F10934g	NA	2
YIL157C	NA	CAGL0H06743g	NA	KLLA0F10956g	orf19.5296	2
YIL156W	YKR098C	CAGL0H06721g	NA	KLLA0A00396g	orf19.3815	1
YIL155C	NA	CAGL0H06699g	NA	KLLA0A00418g	orf19.3133	2
YIL154C	NA	CAGL0H06677g	NA	KLLA0A00440g	orf19.3136	2
YIL153W	NA	CAGL0H06655g	NA	KLLA0A00462g	orf19.6792	2
YIL152W	NA	Cgla_YGOB_Anc_5.707	NA	KLLA0A00506g	NA	3
YIL151C	YKR096W	CAGL0G02541g	CAGL0H06611g	KLLA0A00528g	orf19.4686	0
YIL150C	NA	CAGL0H06589g	NA	KLLA0A00572g	orf19.4441	2
YBR054W	YDR033W	CAGL0H10076g	CAGL0K11880g	NA	NA	2
YIL149C	YKR095W	CAGL0G02497g	NA	KLLA0A00594g	NA	2
YIL148W	YKR094C	CAGL0G02475g	NA	KLLA0A00616g	NA	2
YIL147C	NA	CAGL0H06567g	NA	KLLA0A00638g	orf19.3256	2
YIL146C	NA	CAGL0H06545g	NA	KLLA0A00660g	NA	3
YIL145C	NA	CAGL0H06523g	NA	KLLA0E12981g	orf19.163	2
YIL144W	NA	CAGL0D02684g	NA	KLLA0E13003g	orf19.2827	2
YIL143C	NA	CAGL0L08250g	NA	KLLA0E13025g	orf19.2857	2
YIL142W	NA	CAGL0L08272g	NA	KLLA0C11451g	orf19.1402	2
YIL140W	NA	CAGL0L08294g	NA	KLLA0C11407g	orf19.5292	2
YIL139C	NA	CAGL0L08316g	NA	KLLA0C11341g	orf19.1406	2
YBR055C	NA	CAGL0H10098g	NA	KLLA0F04191g	orf19.6356	2
YIL138C	YNL079C	CAGL0J05434g	CAGL0L08338g	KLLA0E17931g	NA	1
YIL137C	NA	CAGL0L08360g	NA	KLLA0E07921g	orf19.73	2
YIL136W	NA	CAGL0F04807g	NA	KLLA0E07877g	orf19.2531	2
YIL135C	YNL074C	CAGL0F04785g	NA	KLLA0E07811g	NA	2
YIL134W	NA	CAGL0G08910g	NA	KLLA0F04697g	orf19.6532	2
YIL133C	YNL069C	CAGL0J10164g	NA	KLLA0F04675g	orf19.6085	1
YIL132C	NA	CAGL0G08888g	NA	KLLA0F04653g	NA	3
YIL131C	YNL068C	CAGL0J10120g	CAGL0G08866g	KLLA0F04631g	orf19.5389	0
YIL130W	NA	NA	CAGL0G08844g	KLLA0F04609g	orf19.166	2
YIL129C	NA	CAGL0G08822g	NA	KLLA0F04587g	orf19.1693	2
YBR056W	NA	CAGL0H10120g	NA	KLLA0F18788g	orf19.7214	2
YIL128W	NA	CAGL0G08800g	NA	KLLA0F04565g	orf19.1706	2
YIL127C	NA	CAGL0G08778g	NA	KLLA0F04543g	orf19.1708	2
YIL125W	NA	CAGL0G08712g	NA	KLLA0F04477g	orf19.6165	2
YIL124W	NA	CAGL0G08690g	NA	KLLA0F04455g	orf19.6167	2
YIL123W	YNL066W	CAGL0J09922g	CAGL0G08668g	KLLA0F04433g	NA	1
